"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"Q3","SOT-23(SOT-23-3)","52.07mm","70.104mm","52.07mm","70.104mm","53.32mm","69.154mm","T","360.00","SS8550 Y2"
"Q2","SOT-23(SOT-23-3)","52.07mm","73.914mm","52.07mm","73.914mm","53.32mm","72.964mm","T","0.00","SS8550 Y2"
"Q1","SOT-23(SOT-23-3)","52.07mm","77.724mm","52.07mm","77.724mm","53.32mm","76.774mm","T","0.00","SS8550 Y2"
"R58","0603_R","66.286mm","81.661mm","66.286mm","81.661mm","65.516mm","81.661mm","T","360.00","1.5K次 (1501) ㊣1%"
"R54","0603_R","103.1875mm","81.661mm","103.1875mm","81.661mm","102.4175mm","81.661mm","T","360.00","1.5K次 (1501) ㊣1%"
"R50","0603_R","140.335mm","81.661mm","140.335mm","81.661mm","139.565mm","81.661mm","T","360.00","1.5K次 (1501) ㊣1%"
"R57","0603_R","75.5491mm","81.661mm","75.5491mm","81.661mm","74.7791mm","81.661mm","T","360.00","1.5K次 (1501) ㊣1%"
"R53","0603_R","112.5696mm","81.661mm","112.5696mm","81.661mm","111.7996mm","81.661mm","T","360.00","1.5K次 (1501) ㊣1%"
"R49","0603_R","145.415mm","82.931mm","145.415mm","82.931mm","145.415mm","83.701mm","T","270.00","1.5K次 (1501) ㊣1%"
"R56","0603_R","84.8042mm","81.661mm","84.8042mm","81.661mm","84.0343mm","81.661mm","T","360.00","1.5K次 (1501) ㊣1%"
"R52","0603_R","121.6977mm","81.661mm","121.6977mm","81.661mm","120.9278mm","81.661mm","T","360.00","1.5K次 (1501) ㊣1%"
"R48","0603_R","145.415mm","76.835mm","145.415mm","76.835mm","145.415mm","77.605mm","T","270.00","1.5K次 (1501) ㊣1%"
"R55","0603_R","94.0594mm","81.661mm","94.0594mm","81.661mm","93.2894mm","81.661mm","T","360.00","1.5K次 (1501) ㊣1%"
"R51","0603_R","131.0799mm","81.661mm","131.0799mm","81.661mm","130.3099mm","81.661mm","T","360.00","1.5K次 (1501) ㊣1%"
"R47","0603_R","145.415mm","70.612mm","145.415mm","70.612mm","145.415mm","71.382mm","T","270.00","1.5K次 (1501) ㊣1%"
"C19","1206_C","116.967mm","55.372mm","116.967mm","55.372mm","115.477mm","55.372mm","T","360.00","10uF(106) ㊣10% 25V"
