"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"P26","WJ15EDGVC-3.81-2P","61.976mm","100.584mm","63.881mm","100.584mm","63.881mm","100.584mm","T","180.00","Header 2"
"P9","WJ15EDGVC-3.81-3P","150.622mm","53.213mm","146.812mm","53.213mm","146.812mm","53.213mm","T","360.00","Header 3"
"R54","0603_R","105.5733mm","97.536mm","105.5733mm","97.536mm","105.5733mm","96.766mm","T","90.00","10K次 (1002) ㊣1%"
"R53","0603_R","105.537mm","107.696mm","105.537mm","107.696mm","105.537mm","106.926mm","T","90.00","10K次 (1002) ㊣1%"
"R48","1206_R","160.24mm","60.198mm","160.24mm","60.198mm","161.73mm","60.198mm","T","180.00","4.7K次 (4701) ㊣1%"
"R47","1206_R","145.034mm","60.198mm","145.034mm","60.198mm","146.524mm","60.198mm","T","180.00","4.7K次 (4701) ㊣1%"
"R46","1206_R","130.014mm","60.198mm","130.014mm","60.198mm","131.504mm","60.198mm","T","180.00","4.7K次 (4701) ㊣1%"
"R45","1206_R","115.062mm","60.198mm","115.062mm","60.198mm","116.552mm","60.198mm","T","180.00","4.7K次 (4701) ㊣1%"
"R44","1206_R","99.534mm","60.198mm","99.534mm","60.198mm","101.024mm","60.198mm","T","180.00","4.7K次 (4701) ㊣1%"
"R43","1206_R","84.04mm","60.198mm","84.04mm","60.198mm","85.53mm","60.198mm","T","180.00","4.7K次 (4701) ㊣1%"
"R42","1206_R","68.834mm","60.198mm","68.834mm","60.198mm","70.324mm","60.198mm","T","180.00","4.7K次 (4701) ㊣1%"
"R41","1206_R","53.34mm","60.198mm","53.34mm","60.198mm","54.83mm","60.198mm","T","180.00","4.7K次 (4701) ㊣1%"
"R40","1206_R","152.62mm","60.198mm","152.62mm","60.198mm","154.11mm","60.198mm","T","180.00","4.7K次 (4701) ㊣1%"
"R39","1206_R","137.634mm","60.198mm","137.634mm","60.198mm","139.124mm","60.198mm","T","180.00","4.7K次 (4701) ㊣1%"
"R38","1206_R","122.682mm","60.198mm","122.682mm","60.198mm","124.172mm","60.198mm","T","180.00","4.7K次 (4701) ㊣1%"
